Date,Bitcoin,Ethereum,Cardano,Litecoin
02.06.2023,"25433,1967","1780,1033","0,353","88,9818"
01.06.2023,"24920,0905","1729,6121","0,3393","87,2982"
31.05.2023,"25466,1743","1752,6051","0,3504","84,706"
30.05.2023,"25801,6035","1770,7246","0,3521","86,0285"
29.05.2023,"25919,6057","1768,0372","0,3541","84,9906"
28.05.2023,"26209,999","1785,0828","0,3572","85,3908"
27.05.2023,"25034,0233","1706,5021","0,3417","82,5949"
26.05.2023,"24896,6546","1704,0937","0,3381","81,3297"
25.05.2023,"24687,3179","1684,0054","0,3342","80,6623"
24.05.2023,"24489,856","1674,0194","0,3387","80,0106"
23.05.2023,"25280,0453","1721,9023","0,344","85,1081"
22.05.2023,"24841,6367","1681,4192","0,3404","84,1082"
21.05.2023,"24735,5934","1668,0365","0,3333","85,3426"
20.05.2023,"25073,3727","1682,5479","0,3386","85,3693"
19.05.2023,"24842,062","1674,6254","0,3404","84,8042"
18.05.2023,"24905,029","1671,9799","0,3456","84,0908"
17.05.2023,"25283,9805","1680,7431","0,3464","86,6264"
16.05.2023,"24876,0621","1678,4201","0,3385","82,8124"
15.05.2023,"25012,1071","1671,5234","0,3381","80,161"
14.05.2023,"24802,0481","1658,5422","0,3414","76,8333"
13.05.2023,"24506,059","1643,0383","0,3336","73,3786"
12.05.2023,"24513,635","1653,1803","0,3383","73,6122"
11.05.2023,"24758,5276","1647,7881","0,3301","74,2795"
10.05.2023,"25171,4691","1678,6234","0,3373","73,9225"
09.05.2023,"25219,9298","1686,0606","0,3318","72,9762"
08.05.2023,"25201,7444","1682,3163","0,3326","70,8505"
07.05.2023,"25843,191","1707,1497","0,3423","75,9317"
06.05.2023,"25794,575","1696,1613","0,3392","74,6335"
05.05.2023,"26341,8564","1779,2462","0,352","79,252"
04.05.2023,"26165,0315","1702,8732","0,3514","80,2681"
03.05.2023,"26202,9223","1719,9542","0,3557","80,303"
02.05.2023,"26015,4343","1698,4297","0,3554","80,1834"
01.05.2023,"25616,4973","1669,303","0,3527","79,0588"
30.04.2023,"26632,0269","1708,9277","0,3611","80,4938"
29.04.2023,"26269,6668","1713,139","0,3618","81,8132"
28.04.2023,"26376,0949","1701,5878","0,364","80,6849"
27.04.2023,"26714,3292","1730,7557","0,3713","81,2726"
26.04.2023,"25692,2862","1689,6966","0,3632","79,8444"
25.04.2023,"25803,6479","1701,3737","0,3596","83,0681"
24.04.2023,"24893,1282","1666,5054","0,3474","79,9839"
23.04.2023,"25100,064","1694,2385","0,3538","79,0339"
22.04.2023,"25077,8944","1689,708","0,3571","78,5232"
21.04.2023,"24585,9907","1666,8856","0,345","77,0982"
20.04.2023,"25773,5913","1773,8338","0,3656","82,3432"
19.04.2023,"26303,9745","1767,6759","0,3792","82,4732"
18.04.2023,"27682,0429","1917,3045","0,4042","92,7704"
17.04.2023,"26936,3967","1899,0393","0,3975","90,2412"
16.04.2023,"27599,8741","1929,9892","0,4111","91,367"
15.04.2023,"27312,3454","1885,4588","0,4087","87,2477"
14.04.2023,"27465,125","1893,8317","0,3948","86,8533"
13.04.2023,"27502,3982","1820,3711","0,3853","85,2684"
12.04.2023,"27174,5779","1743,9251","0,3682","83,7809"
11.04.2023,"27711,1714","1733,4616","0,3676","86,3439"
10.04.2023,"27257,5497","1755,4026","0,365","86,2646"
09.04.2023,"25969,5426","1703,6102","0,3569","83,089"
08.04.2023,"25415,2326","1682,1232","0,3507","81,8563"
07.04.2023,"25394,7045","1696,8458","0,349","82,3976"
06.04.2023,"25680,0446","1714,5584","0,351","83,2674"
05.04.2023,"25832,048","1750,8502","0,3598","84,924"
04.04.2023,"25701,6155","1707,5375","0,3555","84,3898"
03.04.2023,"25446,2148","1657,7237","0,3549","85,2215"
02.04.2023,"26093,7383","1661,2112","0,3531","86,079"
01.04.2023,"26200,6658","1676,1505","0,362","85,2633"
31.03.2023,"26201,3555","1676,5714","0,3671","82,5379"
30.03.2023,"25704,6669","1643,803","0,3454","81,6509"
29.03.2023,"26141,3948","1653,028","0,3523","84,311"
28.03.2023,"25148,9734","1635,9121","0,3397","82,2552"
27.03.2023,"25126,4329","1587,9878","0,3199","82,6011"
26.03.2023,"25992,5766","1647,9216","0,3307","86,8316"
25.03.2023,"25504,4297","1617,3215","0,3267","84,9379"
24.03.2023,"25462,9973","1623,2723","0,3341","86,8946"
23.03.2023,"26152,7132","1676,7846","0,3433","86,4772"
22.03.2023,"25130,2706","1598,9765","0,3318","80,4958"
21.03.2023,"26140,9876","1678,0341","0,3447","76,7852"
20.03.2023,"25886,8448","1616,7457","0,31","73,1238"
19.03.2023,"26229,2685","1671,2072","0,3246","79,2155"
18.03.2023,"25048,1428","1634,9959","0,3131","76,9491"
17.03.2023,"25463,3625","1663,9495","0,3257","79,5276"
16.03.2023,"23614,2885","1580,6509","0,3068","74,5428"
15.03.2023,"23009,1574","1561,8358","0,3063","72,1097"
14.03.2023,"23101,8189","1590,5378","0,3213","78,7595"
13.03.2023,"22518,9787","1564,9197","0,321","76,2185"
12.03.2023,"20704,5263","1484,8641","0,3099","71,2799"
11.03.2023,"19404,4888","1393,6811","0,2887","65,5134"
10.03.2023,"18933,8673","1341,0927","0,2959","67,352"
09.03.2023,"19246,4647","1359,8536","0,2925","72,4971"
08.03.2023,"20591,4724","1455,2766","0,3013","78,5167"
