Datum,Emittent,Pfandbriefart,Fälligkeit,Spread,,ausstehendes Volumen,Kupon,,ISIN
02.01.2024,LBBW,HypPfe,10.01.2025,-5,8,1000000000,0,250,DE000LB1M2X2
02.01.2024,LBBW,HypPfe,27.09.2027,12,8,500000000,3,250,DE000LB387B4
02.01.2024,LBBW,OePfe,04.11.2026,6,5,750000000,3,250,DE000LB386A8
02.01.2024,LBBW,OePfe,17.06.2026,5,3,500000000,0,10,DE000LB2CTH0
02.01.2024,LBBW,HypPfe,27.02.2025,0,7,1000000000,0,375,DE000LB1DSM2
02.01.2024,LBBW,HypPfe,16.07.2027,13,5,750000000,0,10,DE000LB2CQG8
02.01.2024,MUENCHENERHYP,HypPfe,05.09.2035,26,9,500000000,0,125,DE000MHB25J1
02.01.2024,MUENCHENERHYP,HypPfe,04.08.2027,9,4,1000000000,3,0,DE000MHB32J7
02.01.2024,MUENCHENERHYP,HypPfe,18.04.2039,33,0,500000000,1,0,DE000MHB22J8
02.01.2024,MUENCHENERHYP,HypPfe,14.03.2025,1,3,750000000,0,500,DE000MHB13J7
02.01.2024,MUENCHENERHYP,HypPfe,22.04.2026,5,2,750000000,0,500,DE000MHB17J8
02.01.2024,MUENCHENERHYP,HypPfe,28.08.2026,9,4,500000000,3,500,DE000MHB36J8
02.01.2024,MUENCHENERHYP,HypPfe,14.08.2030,20,6,750000000,3,0,DE000MHB35J0
02.01.2024,MUENCHENERHYP,HypPfe,23.11.2028,18,3,500000000,3,250,DE000MHB37J6
02.01.2024,MUENCHENERHYP,HypPfe,01.02.2029,16,3,750000000,0,125,DE000MHB29J3
02.01.2024,MUENCHENERHYP,HypPfe,10.11.2027,13,1,750000000,0,625,DE000MHB20J2
02.01.2024,MUENCHENERHYP,HypPfe,14.08.2029,17,5,750000000,3,125,DE000MHB34J3
02.01.2024,MUENCHENERHYP,HypPfe,19.10.2039,32,1,750000000,0,10,DE000MHB27J7
02.01.2024,MUENCHENERHYP,HypPfe,07.05.2027,11,4,750000000,0,625,DE000MHB18J6
02.01.2024,MUENCHENERHYP,HypPfe,02.11.2040,32,9,500000000,0,10,DE000MHB26J9
02.01.2024,MUENCHENERHYP,HypPfe,14.02.2030,15,8,1000000000,1,250,DE000MHB30J1
02.01.2024,MUENCHENERHYP,HypPfe,02.05.2036,28,1,500000000,0,250,DE000MHB28J5
02.01.2024,MUENCHENERHYP,HypPfe,24.09.2025,-3,7,1225000000,2,750,DE000MHB33J5
02.01.2024,MUENCHENERHYP,HypPfe,25.08.2032,21,8,1200000000,1,875,DE000MHB31J9
02.01.2024,MUENCHENERHYP,HypPfe,23.10.2026,10,4,750000000,0,625,DE000MHB19J4
02.01.2024,MUENCHENERHYP,HypPfe,04.07.2028,17,1,1000000000,2,500,DE000MHB10J3
02.01.2024,NORD/LB,HypPfe,18.01.2028,17,1,1000000000,0,750,DE000NLB2TD7
02.01.2024,NORD/LB,HypPfe,20.02.2026,0,7,500000000,3,125,DE000NLB4RJ4
02.01.2024,NORD/LB,HypPfe,05.03.2029,19,3,750000000,0,750,DE000DHY5025
02.01.2024,NORD/LB,HypPfe,23.09.2026,10,8,500000000,0,10,DE000NLB3UX1
02.01.2024,NORD/LB,OePfe,20.09.2027,14,8,500000000,2,500,DE000NLB3Z75
02.01.2024,NORD/LB,HypPfe,03.11.2025,0,5,500000000,1,375,DE000NLB3ZZ5
02.01.2024,NORD/LB,OePfe,28.10.2026,11,7,750000000,0,250,DE000NLB85X6
02.01.2024,NORD/LB,HypPfe,19.03.2030,23,5,500000000,2,875,DE000NLB34Y2
02.01.2024,NORD/LB,HypPfe,29.06.2026,11,2,750000000,0,500,DE000DHY4960
02.01.2024,NORD/LB,HypPfe,20.06.2025,4,4,750000000,0,375,DE000DHY4861
02.01.2024,NORD/LB,HypPfe,18.02.2027,13,0,500000000,0,10,DE000DHY5074
